0.05,0.5
0.051,0.5
0.052,0.5
0.053,0.5
0.054,0.5
0.055,0.5
0.056,0.5
0.057,0.5
0.058,0.5
0.059,0.5
0.06,0.5
0.061,0.5
0.062,0.5
0.063,0.5
0.064,0.5
0.065,0.51847
0.066,0.51517
0.067,0.50551
0.068,0.4984
0.069,0.48682
0.07,0.48002
0.071,0.47367
0.072,0.4674
0.073,0.46294
0.074,0.45629
0.075,0.44916
0.076,0.44386
0.077,0.44081
0.078,0.43939
0.079,0.42296
0.08,0.41606
0.081,0.41063
0.082,0.40673
0.083,0.4024
0.084,0.39919
0.085,0.39482
0.086,0.39198
0.087,0.38768
0.088,0.38391
0.089,0.38037
0.09,0.37706
0.091,0.37411
0.092,0.3709
0.093,0.36762
0.094,0.36445
0.095,0.36234
0.096,0.35929
0.097,0.35704
0.098,0.35344
0.099,0.351
0.1,0.35011
